Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
11	NCT04359095	Effectiveness and Safety of Medical Treatment for SARS-CoV-2 (COVID-19) in Colombia	Not yet recruiting	No Results Available	COVID-19	Drug: Hydroxychloroquine|Drug: Lopinavir / Ritonavir Pill|Drug: Azithromycin|Other: Standard treatment	Phase 2|Phase 3	Interventional	"Hospital Universitario de Neiva, Neiva, Huila, Colombia|Clínica Reina Sofía, Bogotá, Colombia|Fundacion Cardio Infantil, Bogotá, Colombia|Hospital Universitario San Ignacio, Bogotá, Colombia|Clinica Universitaria Colombia, Bogotá, Colombia|Hospital Universitario Nacional de Colombia, Bogotá, Colombia"	https://ClinicalTrials.gov/show/NCT04359095
12	NCT04361422	Isotretinoin in Treatment of COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Isotretinoin Only Product in Oral Dose Form	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04361422
13	NCT04388683	Inhaled Nitric Oxide for Preventing Progression in COVID-19	Recruiting	No Results Available	COVID-19	Drug: Nitric Oxide	Phase 2	Interventional	"Tufts Medical Center, Boston, Massachusetts, United States"	https://ClinicalTrials.gov/show/NCT04388683
14	NCT04421534	Utility of Lactoferrin as an Adjunct Therapeutic Agent for COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Lactoferrin	Phase 2|Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04421534
15	NCT04428801	Autologous Adipose-derived Stem Cells (AdMSCs) for COVID-19	Not yet recruiting	No Results Available	COVID-19	Biological: autologous adipose-derived stem cells	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04428801
16	NCT04343183	Hyperbaric Oxygen Therapy (HBOT) as a Treatment for COVID-19 (COVID-19) Infection	Not yet recruiting	No Results Available	COVID-19	Device: Hyperbaric Oxygen Therapy	Not Applicable	Interventional	"Ochsner Medical Center, New Orleans, Louisiana, United States"	https://ClinicalTrials.gov/show/NCT04343183
17	NCT04347915	The Phase 2 Study to Evaluate the Safety and Efficacy of Clevudine in Patients With Moderate COVID-19	Recruiting	No Results Available	COVID-19	Drug: Clevudine|Drug: Placebo	Phase 2	Interventional	"Korea University Guro Hospital, Seoul, Korea, Republic of"	https://ClinicalTrials.gov/show/NCT04347915
18	NCT04401423	TXA COVID-19 Clinical Trial	Not yet recruiting	No Results Available	COVID-19	Drug: TXA127|Drug: Placebo	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04401423
19	NCT04333407	Preventing Cardiac Complication of COVID-19 Disease With Early Acute Coronary Syndrome Therapy: A Randomised Controlled Trial.	Recruiting	No Results Available	COVID-19	Drug: Aspirin 75mg|Drug: Clopidogrel 75mg|Drug: Rivaroxaban 2.5 MG|Drug: Atorvastatin 40mg|Drug: Omeprazole 20mg	Not Applicable	Interventional	"Charing Cross Hospital, London, United Kingdom"	https://ClinicalTrials.gov/show/NCT04333407
20	NCT04406389	Anticoagulation in Critically Ill Patients With COVID-19 (The IMPACT Trial)	Not yet recruiting	No Results Available	COVID-19	Drug: Enoxaparin sodium|Drug: Unfractionated heparin|Drug: Fondapariniux|Drug: Argatroban	Phase 4	Interventional	"Weill Cornell Medicine, New York, New York, United States"	https://ClinicalTrials.gov/show/NCT04406389
21	NCT04291053	The Efficacy and Safety of Huai er in the Adjuvant Treatment of COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Huaier Granule	Phase 2|Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04291053
22	NCT04412486	COVID-19 Convalescent Plasma (CCP) Transfusion	Recruiting	No Results Available	COVID-19	Biological: COVID Convalescent Plasma	Early Phase 1	Interventional	"University of Mississippi Medical Center, Jackson, Mississippi, United States"	https://ClinicalTrials.gov/show/NCT04412486
23	NCT04336462	Hydrogen-Oxygen Generator With Nebulizer in the Improvement of Symptoms in Patients Infected With COVID-19	Recruiting	No Results Available	COVID-19	Device: oxyhydrogen|Device: Oxygen	Not Applicable	Interventional	"First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China"	https://ClinicalTrials.gov/show/NCT04336462
24	NCT04393038	ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19	Recruiting	No Results Available	COVID-19	Drug: ABX464|Drug: Placebo	Phase 2|Phase 3	Interventional	"Centre Hospitalier Universitaire de Nice, Nice, France"	https://ClinicalTrials.gov/show/NCT04393038
25	NCT04342689	The Role of Resistant Starch in COVID-19 Infection	Recruiting	No Results Available	COVID-19	Drug: Dietary Supplement containing resistant starch|Dietary Supplement: Placebo Starch	Phase 3	Interventional	"Yale University, New Haven, Connecticut, United States|University of Michigan, Ann Arbor, Michigan, United States"	https://ClinicalTrials.gov/show/NCT04342689
26	NCT04369820	C5a Receptor Expression - COVID-19 (C5-COV)	Recruiting	No Results Available	COVID-19	Other: draw blood	Not Applicable	Interventional	"Assistance Publique Hôpitaux de Marseille, Marseille, France"	https://ClinicalTrials.gov/show/NCT04369820
27	NCT04363346	Study of FT516 for the Treatment of COVID-19 in Hospitalized Patients With Hypoxia	Recruiting	No Results Available	COVID-19	Drug: FT516	Phase 1	Interventional	"University of Minnesota, Minneapolis, Minnesota, United States"	https://ClinicalTrials.gov/show/NCT04363346
28	NCT04392141	Colchicine Plus Phenolic Monoterpenes to Treat COVID-19	Recruiting	No Results Available	COVID-19	Drug: Standard Treatment|Drug: Oral administration of Colchicine plus Herbal Phenolic Monoterpene Fractions	Phase 1|Phase 2	Interventional	"Medical Biology Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran, Kermanshah, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04392141
29	NCT04449718	Vitamin D Supplementation in Patients With COVID-19	Recruiting	No Results Available	COVID-19	Dietary Supplement: Vitamin D|Dietary Supplement: Placebo	Not Applicable	Interventional	"Clinical Hospital of the School of Medicine, University of Sao Paulo, Sao Paulo, Brazil"	https://ClinicalTrials.gov/show/NCT04449718
30	NCT04324489	DAS181 for Severe COVID-19: Compassionate Use	Completed	No Results Available	COVID-19	Drug: DAS181	Not Applicable	Interventional	"Renmin Hospital of Wuhan University, Wuhan, Hubei, China"	https://ClinicalTrials.gov/show/NCT04324489
31	NCT04370262	Multi-site Adaptive Trials for COVID-19	Recruiting	No Results Available	COVID-19	Drug: SOC + Intravenous Famotidine|Drug: SOC + Placebo	Phase 3	Interventional	"Southside Hospital, Bay Shore, New York, United States|North Shore University Hospital, Manhasset, New York, United States|Northern Westchester Hospital, Mount Kisco, New York, United States|Lenox Hill Hospital, New York, New York, United States|Long Island Jewish Medical Center, Queens, New York, United States"	https://ClinicalTrials.gov/show/NCT04370262
32	NCT04333420	"Open-label, Randomized Study of IFX-1 in Patients With Severe COVID-19 Pneumonia"	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Best supportive Care (BSC) + IFX-1|Drug: Best supportive care only	Phase 2|Phase 3	Interventional	"University Amsterdam, Amsterdam, Netherlands|University Amsterdam, Amsterdam, Netherlands|University Maastricht, Maastricht, Netherlands"	https://ClinicalTrials.gov/show/NCT04333420
33	NCT04323228	Anti-inflammatory/Antioxidant Oral Nutrition Supplementation in COVID-19	Not yet recruiting	No Results Available	COVID-19	"Dietary Supplement: oral nutrition supplement (ONS) enriched in eicosapentaenoic acid, gamma-linolenic acid and antioxidants|Dietary Supplement: isocaloric/isonutrigenous ONS"	Phase 4	Interventional		https://ClinicalTrials.gov/show/NCT04323228
34	NCT04376788	Exchange Transfusion Versus Plasma From Convalescent Patients With Methylene Blue in Patients With COVID-19	Not yet recruiting	No Results Available	COVID-19	Biological: exchange blood transfusion from normal donor|Biological: plasma from convalescent patients with COVID-19|Drug: Methylene Blue 5 MG/ML	Phase 2	Interventional	"Ain Shams University, Cairo, Egypt"	https://ClinicalTrials.gov/show/NCT04376788
35	NCT04335123	Study of Open Label Losartan in COVID-19	Recruiting	No Results Available	COVID-19	Drug: Losartan	Phase 1	Interventional	"University of Kansas Medical Center, Kansas City, Kansas, United States"	https://ClinicalTrials.gov/show/NCT04335123
36	NCT04366882	Minimal Invasive Autopsies to Investigate Changes in Deceased COVID-19 Patients	Recruiting	No Results Available	COVID-19	Procedure: CT-scan with minimal invasive autopsy	Not Applicable	Interventional	"Jessa Hospital, Hasselt, Belgium"	https://ClinicalTrials.gov/show/NCT04366882
37	NCT04360356	Ivermectin and Nitazoxanide Combination Therapy for COVID-19	Not yet recruiting	No Results Available	COVID-19	Combination Product: Ivermectin plus Nitazoxanide|Other: Standard Care	Phase 2|Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04360356
38	NCT04434248	An Adaptive Study of Favipiravir Compared to Standard of Care in Hospitalized Patients With COVID-19	"Active, not recruiting"	No Results Available	COVID-19	Drug: Favipiravir|Drug: Standard of Care	Phase 2|Phase 3	Interventional	"Republican Clinical Hospital, Makhachkala, Russian Federation|""K+31"" Clinic, Moscow, Russian Federation|""Khaven"" Llc, Moscow, Russian Federation|Central Clinical Hospital with Polyclinic, Moscow, Russian Federation|Central Research Institute of Epidemiology, Moscow, Russian Federation|City Clinical Hospital n.a. O.M. Filatov, Moscow, Russian Federation|City Clinical Hospital named after S.S. Yudin, Moscow, Russian Federation|City Clinical Hospital No. 24, Moscow, Russian Federation|City Clinical Hospital No. 51, Moscow, Russian Federation|First Moscow State Medical University n.a. I.M. Sechenov, Moscow, Russian Federation|Moscow State University n.a. M. V. Lomonosov, Moscow, Russian Federation|National Medical and Surgical Center named after N.I. Pirogov, Moscow, Russian Federation|City Hospital № 33 of the Leninsky region of Nizhny Novgorod, Nizhny Novgorod, Russian Federation|Infectious clinical hospital No.2 of Nizhny Novgorod, Nizhny Novgorod, Russian Federation|Ryazan State Medical University named after I.P. Pavlov, Ryazan, Russian Federation|Military Medical Academy named after S.M. Kirova, Saint Petersburg, Russian Federation|Saratov State Medical University named after V.I. Razumovsky, Saratov, Russian Federation|Clinical hospital No.1, Smolensk, Russian Federation|Regional Clinic Hospital, Tver, Russian Federation|Bashkir State Medical University, Ufa, Russian Federation|Yakutsk City Clinical Hospital, Yakutsk, Russian Federation|Yaroslavl Regional Clinical Hospital for War Veterans, Yaroslavl, Russian Federation"	https://ClinicalTrials.gov/show/NCT04434248
39	NCT04350593	Dapagliflozin in Respiratory Failure in Patients With COVID-19	Recruiting	No Results Available	COVID-19	Drug: Dapagliflozin 10 MG|Drug: Placebo	Phase 3	Interventional	"NorthShore University HealthSystem, Evanston, Illinois, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Saint Luke's Mid America Heart Institute, Kansas City, Missouri, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Jacobi Medical Center, Bronx, New York, United States|St. Francis Hospital, Roslyn, New York, United States|Sentara Healthcare, Norfolk, Virginia, United States"	https://ClinicalTrials.gov/show/NCT04350593
40	NCT04456413	Convalescent Plasma as Treatment for Subjects With Early COVID-19 Infection	Not yet recruiting	No Results Available	COVID-19	Biological: Convalescent Plasma|Other: Best Supportive Care	Phase 2	Interventional	"Hackensack University Medical Center, Hackensack, New Jersey, United States"	https://ClinicalTrials.gov/show/NCT04456413
41	NCT04372979	Efficacy of Convalescent Plasma Therapy in the Early Care of COVID-19 Patients.	Not yet recruiting	No Results Available	COVID-19	Drug: Transfusion of SARS-CoV-2 Convalescent Plasma.|Drug: Transfusion of standard Plasma.	Phase 3	Interventional	"HIA Percy, Clamart, France|HIA Laveran, Marseille, France|HIA Bégin, Saint-Mandé, France|HIA Sainte Anne, Toulon, France"	https://ClinicalTrials.gov/show/NCT04372979
42	NCT04343755	Convalescent Plasma as Treatment for Hospitalized Subjects With COVID-19 Infection	Recruiting	No Results Available	COVID-19	Biological: Convalescent Plasma	Phase 2	Interventional	"Hackensack University Medical Center, Hackensack, New Jersey, United States"	https://ClinicalTrials.gov/show/NCT04343755
43	NCT04425629	"Safety, Tolerability, and Efficacy of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies for the Treatment of Ambulatory Adult Patients With COVID-19"	Recruiting	No Results Available	COVID-19	Drug: REGN10933+REGN10987 combination therapy|Drug: Placebo	Phase 1|Phase 2	Interventional	"Regeneron Study Site, Aurora, Colorado, United States|Regeneron Study Site, Washington, District of Columbia, United States|Regeneron Study Site, Miami, Florida, United States|Regeneron Study Site, Bronx, New York, United States|Regeneron Study Site, Philadelphia, Pennsylvania, United States|Regeneron Study Site, Dallas, Texas, United States|Regeneron Study Site, San Antonio, Texas, United States|Regeneron Study Site, Tyler, Texas, United States"	https://ClinicalTrials.gov/show/NCT04425629
44	NCT04321421	Hyperimmune Plasma for Critical Patients With COVID-19	Completed	No Results Available	COVID-19	Other: hyperimmune plasma	Not Applicable	Interventional	"Catherine Klersy, Pavia, PV, Italy|Ospedale Asst Carlo Poma Mantova, Mantova, Italy"	https://ClinicalTrials.gov/show/NCT04321421
45	NCT04432298	"Study of the Efficacy and Safety of Intravenous Pamrevlumab, in Hospitalized Patients With Acute COVID-19 Disease"	Recruiting	No Results Available	COVID-19	Drug: Pamrevlumab|Drug: Placebo	Phase 2	Interventional	"Research Center, Greensboro, North Carolina, United States"	https://ClinicalTrials.gov/show/NCT04432298
46	NCT04405102	COVID-19 Ozanimod Intervention Study	Not yet recruiting	No Results Available	COVID-19	Drug: Ozanimod|Other: Standard of care	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04405102
47	NCT04329611	ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease	Suspended	No Results Available	COVID-19	Drug: Hydroxychloroquine	Phase 3	Interventional	"University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada"	https://ClinicalTrials.gov/show/NCT04329611
48	NCT04415086	Treatment of Patients With COVID-19 With Convalescent Plasma	Recruiting	No Results Available	COVID-19	Biological: convalescent plasma	Phase 2	Interventional	"University of Sao Paulo - General Hospital, São Paulo, SP, Brazil"	https://ClinicalTrials.gov/show/NCT04415086
49	NCT04325633	Efficacy of Addition of Naproxen in the Treatment of Critically Ill Patients Hospitalized for COVID-19 Infection	Not yet recruiting	No Results Available	COVID-19	Drug: 1: Naproxen|Drug: 2: Standard of care	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04325633
50	NCT04323332	Traditional Chinese Medicine for Severe COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Traditional Chinese Medicine Prescription	Phase 3	Interventional	"Hao Li, Beijing, Beijing, China"	https://ClinicalTrials.gov/show/NCT04323332
51	NCT04382066	Proof of Concept Study to Evaluate the Safety Profile of Plitidepsin in Patients With COVID-19	Recruiting	No Results Available	COVID-19	Drug: Plitidepsin 1.5 mg/day|Drug: Plitidepsin 2.0 mg/day|Drug: Plitidepsin 2.5 mg/day	Phase 1	Interventional	"Hospital Universitario Hm Montepríncipe, Boadilla Del Monte, Madrid, Spain|Hospital Germans Trias i Pujol, Badalona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Ciudad Real, Ciudad Real, Spain|Hospital Universitario de Getafe, Getafe, Spain|Hospital Universitario de Guadalajara, Guadalajara, Spain|Hospital La Princesa, Madrid, Spain|Hospital Gregorio Marañón, Madrid, Spain|Hospital Ramón Y Cajal, Madrid, Spain|Hospital Clínico San Carlos, Madrid, Spain|Hosptial Quironsalud Madrid, Madrid, Spain"	https://ClinicalTrials.gov/show/NCT04382066
52	NCT04352348	Cohort of Patients Infected With SARS-CoV2 (COVID-19) or Suspected of Being	Recruiting	No Results Available	COVID-19	Other: blood samples	Not Applicable	Interventional	"GH Pitié-Salpêtrière / Service d'Accueil des Urgences, Paris, Ile-de-France, France"	https://ClinicalTrials.gov/show/NCT04352348
53	NCT04390178	Convalescent Plasma as Treatment for Acute Coronavirus Disease (COVID-19)	"Active, not recruiting"	No Results Available	COVID-19	Biological: SARS-CoV-2 convalescent plasma	Phase 1|Phase 2	Interventional	"Danderyd Hospital, Danderyd, Sweden"	https://ClinicalTrials.gov/show/NCT04390178
54	NCT04339660	Clinical Research of Human Mesenchymal Stem Cells in the Treatment of COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19	Biological: UC-MSCs|Other: Placebo	Phase 1|Phase 2	Interventional	"Puren Hospital Affiliated to Wuhan University of Science and Technology, Wuhan, Hubei, China"	https://ClinicalTrials.gov/show/NCT04339660
55	NCT04382092	Co-infection Management in COVID-19 Critically Ill	Completed	No Results Available	COVID-19	Diagnostic Test: FilmArray Pneumonia	Not Applicable	Interventional	"Cliniques Universitaires Saint-Luc, Brussels, Belgium"	https://ClinicalTrials.gov/show/NCT04382092
56	NCT04412252	Safety and Efficacy of Tofacitinib in Hospitalized Participants With COVID-19 Pneumonia Who Are Receiving Standard of Care Therapy	Not yet recruiting	No Results Available	COVID-19	Drug: Tofacitinib|Other: Placebo	Phase 2	Interventional	"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States"	https://ClinicalTrials.gov/show/NCT04412252
57	NCT04287686	Recombinant Human Angiotensin-converting Enzyme 2 (rhACE2) as a Treatment for Patients With COVID-19	Withdrawn	No Results Available	COVID-19	Drug: Recombinant human angiotensin-converting enzyme 2 (rhACE2)	Not Applicable	Interventional	"GCP Office of The First Affiliated Hospital of Guangzhou Medical University, Guangzhou, Guangdong, China"	https://ClinicalTrials.gov/show/NCT04287686
58	NCT04344015	COVID-19 Plasma Collection	Recruiting	No Results Available	COVID-19	Other: Plasma Donation	Not Applicable	Interventional	"Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States"	https://ClinicalTrials.gov/show/NCT04344015
59	NCT04375202	Colchicine in COVID-19: a Pilot Study	Recruiting	No Results Available	COVID-19	Drug: Colchicine 1 MG Oral Tablet	Phase 2	Interventional	"Associazione Italiana Pneumologi Ospedalieri, Milan, Italy|Società Italiana di Reumatologia, Milan, Italy"	https://ClinicalTrials.gov/show/NCT04375202
60	NCT04385108	Predictive Immune Biomarkers for COVID-19 Pathogenesis	Not yet recruiting	No Results Available	COVID-19	Biological: Blood collection on admission and longitudinally|Biological: Blood collection on their first consultation and 10 to 14 days later	Not Applicable	Interventional	"Purpan University Hospital, Toulouse, France"	https://ClinicalTrials.gov/show/NCT04385108
61	NCT04361916	Home Care for Patients With COVID-19: Active Monitoring in Two Italian Health Units (Casale Monferrato and Torino)	Recruiting	No Results Available	COVID-19	Other: home care monitoring	Not Applicable	Interventional	"Asl Alessandria, Casale Monferrato, Alessandria, Italy"	https://ClinicalTrials.gov/show/NCT04361916
62	NCT04354389	DAS181 for STOP COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: DAS181|Drug: Placebo	Phase 2|Phase 3	Interventional	"Fondazione IRCCS Ca' Granda - Ospedale Maggiore Policlinico, Milano, Italy|A.O.U Policlinico Di Modena, Modena, Italy"	https://ClinicalTrials.gov/show/NCT04354389
63	NCT04433013	A Randomized Controlled Trial Assessing the Efficacy of Lianhua Qingwen as an Adjuvant Treatment in Patients With Mild Symptoms of COVID-19	Not yet recruiting	No Results Available	COVID-19	Drug: Lianhua Qingwen|Drug: Placebo	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04433013
64	NCT04324996	A Phase I/II Study of Universal Off-the-shelf NKG2D-ACE2 CAR-NK Cells for Therapy of COVID-19	Recruiting	No Results Available	COVID-19	"Biological: NK cells,IL15-NK cells,NKG2D CAR-NK cells,ACE2 CAR-NK cells,NKG2D-ACE2 CAR-NK cells"	Phase 1|Phase 2	Interventional	"Chongqing Public Health Medical Center, Chongqing, China"	https://ClinicalTrials.gov/show/NCT04324996
65	NCT04385043	Hyperimmune Plasma in Patients With COVID-19 Severe Infection	Recruiting	No Results Available	COVID-19	Other: plasma hyperimmune|Drug: standard therapy	Phase 2|Phase 3	Interventional	"Azienda Ospedaliera Policlinico Mater Domini, Catanzaro, Italy|Azienda Ospedaliera Pugliese Ciaccio Catanzaro, Catanzaro, Italy|Azienda Ospedaliera Annunziata, Cosenza, Italy|Azienda Sanitaria Provinciale, Crotone, Italy|Azienda Ospedaliera Bianchi Melacrino Morelli, Reggio Calabria, Italy|Azienda Sanitaria Provinciale, Vibo Valentia, Italy"	https://ClinicalTrials.gov/show/NCT04385043
66	NCT04426695	"Safety, Tolerability, and Efficacy of Anti-Spike (S) SARS-CoV-2 Monoclonal Antibodies for Hospitalized Adult Patients With COVID-19"	Recruiting	No Results Available	COVID-19	Drug: REGN10933+REGN10987 combination therapy|Drug: Placebo	Phase 1|Phase 2	Interventional	"Regeneron Study Site, Aurora, Colorado, United States|Regeneron Study Site, Atlanta, Georgia, United States|Regeneron Study Site, Saint Louis, Missouri, United States|Regeneron Study Site, Teaneck, New Jersey, United States|Regeneron Study Site, Bronx, New York, United States|Regeneron Study Site, Bronx, New York, United States|Regeneron Study Site, Philadelphia, Pennsylvania, United States|Regeneron Study Site, Dallas, Texas, United States|Regeneron Study Site, Tyler, Texas, United States"	https://ClinicalTrials.gov/show/NCT04426695
67	NCT04443270	Chloroquine Phosphate Prophylactic Use in Health Personnel Exposed to COVID-19 Patients	Not yet recruiting	No Results Available	COVID-19	Drug: Chloroquine phosphate	Phase 1	Interventional	"Centro Médico Nacional ""20 de Noviembre"", Mexico City, Benito Juárez, Mexico"	https://ClinicalTrials.gov/show/NCT04443270
68	NCT04384497	Convalescent Plasma for Treatment of COVID-19: An Exploratory Dose Identifying Study	Recruiting	No Results Available	COVID-19	Biological: SARS-CoV-2 convalescent plasma	Phase 1|Phase 2	Interventional	"Danderyd Hospital, Danderyd, Stockholm, Sweden|Karolinska University Hospital, Stockholm, Sweden"	https://ClinicalTrials.gov/show/NCT04384497
