""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"287"	287	"NCT04372186"	"A Study to Evaluate the Efficacy and Safety of Tocilizumab in Hospitalized Participants With COVID-19 Pneumonia"	"Recruiting"	"No Results Available"	"COVID-19 Pneumonia"	"drug: placebo|drug: tocilizumab"	"Phase 3"	"Interventional"	"Banner - University Medical Center Phoenix; In-Patient Pharmacy, Phoenix, Arizona, United States|Univ of AZ Coll of Med, Tucson, Arizona, United States|Scripps Mercy Hospital, Chula Vista, California, United States|El Centro Regional Medical Center, El Centro, California, United States|Harper University Hospital, Fountain Valley, California, United States|eStudySite, La Mesa, California, United States|Riverside University Health System-Medical Center, Moreno Valley, California, United States|Highland Hospital Oakland, Oakland, California, United States|St. Joseph'S Hospital, Orange, California, United States|Desert Regional Medical Center, Palm Springs, California, United States|San Leandro Hospital; Inpatient Pharmacy, San Leandro, California, United States|Poudre Valley Hospital, Fort Collins, Colorado, United States|UCHealth Greeley Hospital, Greeley, Colorado, United States|Medical Center of The Rockies, Loveland, Colorado, United States|Yale University School Of Medicine, New Haven, Connecticut, United States|Howard University, Washington, District of Columbia, United States|Suncoast Research Associates LLC - ERN - PPDS, Doral, Florida, United States|Miami Veterans Administration Healthcare System - NAVREF, Miami, Florida, United States|University of Miami Pulmonary, Miami, Florida, United States|Westchester General Hospital, Miami, Florida, United States|Larkin Community Hospital, South Miami, Florida, United States|Emory University, Atlanta, Georgia, United States|Columbus Regional Research Institute, Columbus, Georgia, United States|St. Lukes Boise Medical Center, Boise, Idaho, United States|Uni of Kansas Medical Center, Kansas City, Kansas, United States|Ochsner Clinic, New Orleans, Louisiana, United States|LSU-Shreveport, Shreveport, Louisiana, United States|Holy Cross Germantown Hospital, Germantown, Maryland, United States|Holy Cross Hospital, Silver Spring, Maryland, United States|Detroit Receiving Hospital, Detroit, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Sinai Grace Hospital, Detroit, Michigan, United States|Optum Health Care, Las Vegas, Nevada, United States|St. Joseph'S Regional Medical Center, Paterson, New Jersey, United States|San Juan Oncology Associates, Farmington, New Mexico, United States|St. Barnabas Hospital, Bronx, New York, United States|Kings County Hospital Center, Brooklyn, New York, United States|SUNY Downstate Medical Center., Brooklyn, New York, United States|Elmhurst Hospital Center, Elmhurst, New York, United States|Flushing Hospital, Flushing, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|NYC Health and Hospitals Queens, Jamaica, New York, United States|Harlem Hospital, New York, New York, United States|Canton-Potsdam Hospital, Potsdam, New York, United States|Novant Health Presbyterian Medical Center (Presbyterian Hospital), Charlotte, North Carolina, United States|Cape Fear Valley Medical Center, Fayetteville, North Carolina, United States|Novant Health Rowan Medical Center, Salisbury, North Carolina, United States|Novant Health Foryth Medical Center, Winston-Salem, North Carolina, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Sanford Health System, Sioux Falls, South Dakota, United States|JPS Health Network, Fort Worth, Texas, United States|Valley Baptist Medical Center, Harlingen, Texas, United States|Michael E Debakey VA Medical Center, Houston, Texas, United States|McAllen Medical Center, McAllen, Texas, United States|Crossroads Clinical Research, LLC, Victoria, Texas, United States|Froedtert and The Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Aga Khan University Hospital, Nairobi, Kenya|Organismo Publico Descentralizado Hospital Juarez de Mexico, Ciudad De México, Mexico|Hospital General de Culiacan, Culiacan, Mexico|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico, Mexico|Hospital Militar Central, Jesus Maria, Peru|Hospital Nacional Dos de Mayo, Lima, Peru|University of the Free State, Bloemfontein, South Africa|George Provincial Hospital, George, South Africa|Mzansi Ethical Research Centre, Middelburg, South Africa|Milpark Hospital, Parktown West, South Africa|University of Stellenbosch; Respiratory Research, Parow, South Africa|Phoenix Pharma, Port Elizabeth, South Africa"	"https://ClinicalTrials.gov/show/NCT04372186"
"298"	298	"NCT04409262"	"A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia"	"Recruiting"	"No Results Available"	"COVID-19 Pneumonia"	"drug: remdesivir|drug: tocilizumab|drug: placebo"	"Phase 3"	"Interventional"	"Valleywise Health Medical Center, Phoenix, Arizona, United States|eStudySite - Chula Vista - PPDS, Chula Vista, California, United States|Hoag Hospital Irvine, Irvine, California, United States|Providence St. John's Health Center, Santa Monica, California, United States|Holy Cross Hospital Inc, Fort Lauderdale, Florida, United States|University of Miami Miller School of Medicine; Clinical Reseach Building, Miami, Florida, United States|St Luke's Health System; Rheumatology Research, Boise, Idaho, United States|Rush University Medical Center, Chicago, Illinois, United States|Ochsner Clinic Foundation, New Orleans, Louisiana, United States|Louisiana State University Health Sciences Center/Ochsner, Shreveport, Louisiana, United States|University of Maryland School of Medicine, Baltimore, Maryland, United States|Boston Medical Center, Boston, Massachusetts, United States|Baystate Medical Center, Springfield, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Saint Elizabeth Regional Medical Center, Lincoln, Nebraska, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|St. Michael'S Medical Center, Newark, New Jersey, United States|Wyckoff Heights Medical Center, Staten Island, New York, United States|Novant Health Clinical Research, Charlotte, North Carolina, United States|Cone Health Medical Group, Greensboro, North Carolina, United States|OhioHealth Research Institute, Columbus, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Allegheny Health Network (Pittsburg PA), Pittsburgh, Pennsylvania, United States|Baylor St. Luke's Medical Center, Houston, Texas, United States|Intermountain LDS Hospital, Salt Lake City, Utah, United States|The Providence Regional Medical Center Everett, Everett, Washington, United States|West Virginia University Hospital, Morgantown, West Virginia, United States|Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, MG, Brazil|Instituto de Pesquisa Clinica Evandro Chagas - IPEC FIOCRUZ, Rio de Janeiro, RJ, Brazil|Faculdade de Medicina do ABC - FMABC, Santo Andre, SP, Brazil|Instituto de Infectologia Emilio Ribas, Sao Paulo, SP, Brazil|Instituto do Coração - HCFMUSP, Sao Paulo, SP, Brazil"	"https://ClinicalTrials.gov/show/NCT04409262"
"431"	431	"NCT04377750"	"The Use of Tocilizumab in the Management of Patients Who Have Severe COVID-19 With Suspected Pulmonary Hyperinflammation"	"Recruiting"	"No Results Available"	"Covid19 Pneumonia"	"drug: tocilizumab"	"Phase 4"	"Interventional"	"Hadassah Medical Orginisation, Jerusalem, Please Select:, Israel|Barzilai Medical Center, Ashkelon, Israel|Wolfson Medical Center, H̱olon, Israel|Sheba Medical Center, Ramat Gan, Israel"	"https://ClinicalTrials.gov/show/NCT04377750"
"438"	438	"NCT04412291"	"A Study in Patients With COVID-19 and Respiratory Distress Not Requiring Mechanical Ventilation, to Compare Standard-of-care With Anakinra and Tocilizumab Treatment The Immunomodulation-CoV Assessment (ImmCoVA) Study"	"Recruiting"	"No Results Available"	"Covid-19"	"drug: anakinra prefilled syringe|drug: tocilizumab prefilled syringe|drug: standard-of-care treatment"	"Phase 2"	"Interventional"	"Karolinska University Hospital, Huddinge, Stockholm, Sweden"	"https://ClinicalTrials.gov/show/NCT04412291"
"448"	448	"NCT04335305"	"Checkpoint Blockade in COVID-19 Pandemic"	"Recruiting"	"No Results Available"	"COVID-19|Pneumonia, Viral"	"drug: tocilizumab|biological: pembrolizumab (mk-3475)"	"Phase 2"	"Interventional"	"Hospital Quirónsalud Barcelona, Barcelona, Spain|Hospital de la Santa Creu i Sant Pau, Barcelona, Spain|Hospital Universitari Arnau de Vilanova de Lleida, Lleida, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Ruber Juan Bravo, Madrid, Spain|Hospital Ruber Internacional, Madrid, Spain|Hospital Arnau de Vilanova-Lliria, Valencia, Spain|Hospital Universitario Doctor Peset, Valencia, Spain"	"https://ClinicalTrials.gov/show/NCT04335305"
"485"	485	"NCT04435717"	"Efficacy of Tocilizumab in Modifying the Inflammatory Parameters of Patients With COVID-19 (COVITOZ-01)"	"Recruiting"	"No Results Available"	"Covid19"	"drug: tocilizumab 20 mg/ml intravenous solution [actemra]_#1|drug: tocilizumab 20 mg/ml intravenous solution [actemra]_#1 (2 doses)"	"Phase 2"	"Interventional"	"Hospital Universitario Ramón y Cajal, Madrid, Spain"	"https://ClinicalTrials.gov/show/NCT04435717"
"615"	615	"NCT04335071"	"Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19)"	"Recruiting"	"No Results Available"	"SARS-CoV-2 Infection"	"drug: tocilizumab (tcz)|drug: placebo"	"Phase 2"	"Interventional"	"University Hospital Bern (Inselspital), Bern, Switzerland|Centre Hospitalier Universitaire Vaudois (CHUV), Lausanne, Switzerland|Ospedale Regionale di Lugano (EOC), Viganello, Switzerland|University Hospital Zurich, Zurich, Switzerland"	"https://ClinicalTrials.gov/show/NCT04335071"
"634"	634	"NCT04424056"	"A Trial Using ANAKINRA, TOCILIZUMAB Alone or in Association With RUXOLITINIB in Severe Stage 2b and 3 of COVID19-associated Disease"	"Not yet recruiting"	"No Results Available"	"Covid19"	"drug: anakinra +/- ruxolitinib (stages 2b/3)|drug: anakinra and ruxolitinib (advanced stage 3)|drug: tocilizumab +/- ruxolitinib (stages 2b/3)|drug: tocilizumab and ruxolitinib (advanced stage 3)|other: standard of care"	"Phase 3"	"Interventional"	"Assistance Publique Hôpitaux de Marseille, Marseille, France"	"https://ClinicalTrials.gov/show/NCT04424056"
"639"	639	"NCT04377503"	"Tocilizumab Versus Methylprednisolone in the Cytokine Release Syndrome of Patients With COVID-19"	"Not yet recruiting"	"No Results Available"	"Cytokine Release Syndrome|Covid-19"	"drug: tocilizumab 180 mg/ml|drug: methylprednisolone sodium succinate"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04377503"
"647"	647	"NCT04349410"	"The Fleming [FMTVDM] Directed CoVid-19 Treatment Protocol"	"Enrolling by invitation"	"No Results Available"	"CoVid 19 Positive"	"drug: hydroxychloroquine, azithromycin|drug: hydroxychloroquine, doxycycline|drug: hydroxychloroquine, clindamycin|drug: hydroxychloroquine, clindamycin, primaquine - low dose.|drug: hydroxychloroquine, clindamycin, primaquine - high dose.|drug: remdesivir|drug: tocilizumab|drug: methylprednisolone|drug: interferon-alpha2b|drug: losartan|drug: convalescent serum"	"Phase 2|Phase 3"	"Interventional"	"FHHI-OI-Camelot; QME, Los Angeles, California, United States"	"https://ClinicalTrials.gov/show/NCT04349410"
"665"	665	"NCT04363853"	"Tocilizumab Treatment in Patients With COVID-19"	"Recruiting"	"No Results Available"	"Sars-CoV2"	"drug: tocilizumab"	"Phase 2"	"Interventional"	"National Cancer Institute of Mexico, Mexico city, Distrito Federal, Mexico"	"https://ClinicalTrials.gov/show/NCT04363853"
"674"	674	"NCT04356937"	"Efficacy of Tocilizumab on Patients With COVID-19"	"Recruiting"	"No Results Available"	"SARS-CoV 2"	"drug: tocilizumab|drug: placebos"	"Phase 3"	"Interventional"	"Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Newton-Wellesley Hospital, Newton, Massachusetts, United States"	"https://ClinicalTrials.gov/show/NCT04356937"
"676"	676	"NCT04361032"	"Assessment of Efficacy and Safety of Tocilizumab Compared to DefeROxamine, Associated With Standards Treatments in COVID-19 (+) Patients Hospitalized In Intensive Care in Tunisia"	"Not yet recruiting"	"No Results Available"	"COVID19|Intensive Care Unit"	"drug: tocilizumab injection|drug: deferoxamine"	"Phase 3"	"Interventional"	"Eshmoun Clinical Research Centre/ Hôpital Abderrahmane Mami-Ariana, Ariana, Tunisia"	"https://ClinicalTrials.gov/show/NCT04361032"
"719"	719	"NCT04333914"	"Prospective Study in Patients With Advanced or Metastatic Cancer and SARS-CoV-2 Infection"	"Suspended"	"No Results Available"	"SARS-CoV-2 (COVID-19) Infection|Advanced or Metastatic Hematological or Solid Tumor"	"drug: chloroquine analog (gns651)|drug: nivolumab|drug: tocilizumab|other: standard of care|drug: avdoralimab|drug: monalizumab"	"Phase 2"	"Interventional"	"Centre Léon Bérard, Lyon, Rhône, France|CHU Clermont Ferrand, Clermont Ferrand, France|Centre Oscar Lambret, Lille, France|AP-HP Hôpital Saint Antoine, Paris, France|AP-HP La Pitié Salpétrière, Paris, France|Hôpital Saint-Joseph, Paris, France|AP-HP Tenon, Paris, France|AP-HP Hôpital Bichat Claude Bernard, Paris, France|GH Diaconesses Croix Saint Simon, Paris, France|Gustave Roussy, Villejuif, France"	"https://ClinicalTrials.gov/show/NCT04333914"
