""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"672"	672	"NCT04344600"	"Peginterferon Lambda-1a for the Prevention and Treatment of SARS-CoV-2 (COVID-19) Infection"	"Recruiting"	"No Results Available"	"Sars-CoV2"	"drug: peginterferon lambda alfa-1a subcutaneous injection|other: saline"	"Phase 2"	"Interventional"	"Johns Hopkins Hospital, Baltimore, Maryland, United States"	"https://ClinicalTrials.gov/show/NCT04344600"
"724"	724	"NCT04388709"	"Interferon Lambda Therapy for COVID-19"	"Not yet recruiting"	"No Results Available"	"SARS-CoV-2"	"drug: peginterferon lambda-1a"	"Phase 2"	"Interventional"	"Icahn School of Medicine at Mount Sinai, New York, New York, United States"	"https://ClinicalTrials.gov/show/NCT04388709"
"795"	795	"NCT04273763"	"Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets Combined With Standard Treatment/ Standard Treatment in Patients With Suspected and Mild Novel Coronavirus Pneumonia (COVID-19)"	"Active, not recruiting"	"No Results Available"	"Novel Coronavirus Pneumonia|2019-nCoV"	"drug: bromhexine hydrochloride tablets|drug: arbidol hydrochloride granules|drug: recombinant human interferon α2b spray"	"Not Applicable"	"Interventional"	"The Second AffIliated Hospital of Wenzhou Medical University, Wenzhou, Zhejiang, China"	"https://ClinicalTrials.gov/show/NCT04273763"
"820"	820	"NCT04324021"	"Efficacy and Safety of Emapalumab and Anakinra in Reducing Hyperinflammation and Respiratory Distress in Patients With COVID-19 Infection."	"Recruiting"	"No Results Available"	"SARS-CoV-2"	"biological: emapalumab|biological: anakinra"	"Phase 2|Phase 3"	"Interventional"	"ASST Spedali Civili di Brescia Dipartimento di Reumatologia e Immunologia Clinica, Brescia, Italy|Ospedale Maggiore Policlinico, Dipartimento di Anestesia-Rianimazione e Medicina di Urgenza, Milano, Italy|Azienda Ospedaliero-Universitaria di Parma, Dipartimento di Malattie infettive ed epatologia, Parma, Italy|Ospedale Lazzaro Spallanzani, Dipartimento di Malattie Infettive ad alta Intensità di cura ed altamente contagiose,Ospedale Lazzaro Spallanzani, Roma, Italy"	"https://ClinicalTrials.gov/show/NCT04324021"
"916"	916	"NCT04315948"	"Trial of Treatments for COVID-19 in Hospitalized Adults"	"Recruiting"	"No Results Available"	"Corona Virus Infection"	"drug: remdesivir|drug: lopinavir/ritonavir|drug: interferon beta-1a|drug: hydroxychloroquine|other: standard of care"	"Phase 3"	"Interventional"	"Centre Hospitalier Universitaire Amiens-Picardie, Amiens, France|Centre Hospitalier Regional Metz-Thionville, Ars-Laquenexy, France|Centre Hospitalier Régional Universitaire de Besançon, Besançon, France|Centre Hospitalier Universitaire de Bordeaux, Bordeaux, France|APHP - hôpital Henri-Mondor, Créteil, France|Centre Hospitalier Universitaire Dijon-Bourgogne, Dijon, France|Centre Hospitalier Universitaire de Martinique, Fort De France, France|AP-HP Hôpital Bicêtre, Kremlin-Bicêtre, France|Centre Hospitalo-Universitaire de Grenoble, La Tronche, France|Centre Hospitalier Régional Universitaire de Lille, Lille, France|Hospices Civils de Lyon, Lyon, France|Centre Hospitalier Universitaire de Montpellier, Montpellier, France|Groupe Hospitalier de la Région de Mulhouse Sud Alsace, Mulhouse, France|Centre Hospitalier Régional et Universitaire de Nancy, Nancy, France|Centre Hospitalier Universitaire de Nantes, Nantes, France|Centre Hospitalo-Universitaire de Nice, Nice, France|APHP - Hôpital Saint Antoine, Paris, France|APHP - Hôpital Universitaire Pitié Salpêtrière, Paris, France|APHP - Hôpital Cochin, Paris, France|Hôpital Paris Saint-Joseph et Marie Lannelongue, Paris, France|APHP- Hôpital Européen Georges-Pompidou, Paris, France|APHP - Hôpital Bichat Claude Bernard, Paris, France|Centre Hospitalier Universitaire de Rennes, Rennes, France|Hopital DELAFONTAINE, Saint-Denis, France|Hôpital d'Instruction des Armées BEGIN, Saint-Mandé, France|Centre Hospitalier Universitaire de Saint Etienne, Saint-Étienne, France|Centre Hospitalier Régional Universitaire de Strasbourg, Strasbourg, France|Centre Hospitalier Universitaire de Toulouse, Toulouse, France|Centre Hospitalier Universitaire de Toulouse, Toulouse, France|Centre Hospitalier de Tourcoing, Tourcoing, France|Centre Hospitalier Universitaire de Tours, Tours, France|Centre Hospitalier Annecy Genevois, Épagny, France|Centre Hospitalier Luxembourg, Luxembourg, Luxembourg|Hôpitaux Robert Schuman, Luxembourg, Luxembourg"	"https://ClinicalTrials.gov/show/NCT04315948"
"923"	923	"NCT04254874"	"A Prospective/Retrospective,Randomized Controlled Clinical Study of Interferon Atomization in the 2019-nCoV Pneumonia"	"Recruiting"	"No Results Available"	"2019-nCoV"	"drug: abidol hydrochloride|drug: abidol hydrochloride combined with interferon atomization"	"Phase 4"	"Interventional"	"Department and Institute of Infectious Disease, Wuhan, Hubei, China"	"https://ClinicalTrials.gov/show/NCT04254874"
"980"	980	"NCT02735707"	"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia"	"Recruiting"	"No Results Available"	"Community-acquired Pneumonia, Influenza, COVID-19"	"drug: fixed-duration hydrocortisone|drug: shock-dependent hydrocortisone|drug: ceftriaxone|drug: moxifloxacin or levofloxacin|drug: piperacillin-tazobactam|drug: ceftaroline|drug: amoxicillin-clavulanate|drug: macrolide administered for 3-5 days|drug: macrolide administered for up to 14 days|drug: five-days oseltamivir|drug: ten-days oseltamivir|drug: lopinavir/ritonavir|drug: hydroxychloroquine|drug: hydroxychloroquine + lopinavir/ritonavir|drug: interferon-β1a|drug: anakinra|drug: fixed-duration higher dose hydrocortisone|drug: tocilizumab|drug: sarilumab"	"Phase 4"	"Interventional"	"St Vincent's Hospital Sydney, Sydney, New South Wales, Australia|Royal Prince Alfred Hospital, Sydney, New South Wales, Australia|Royal North Shore Hospital, Sydney, New South Wales, Australia|Nepean Hospital, Sydney, New South Wales, Australia|Wollongong Hospital, Sydney, New South Wales, Australia|Royal Darwin Hospital,, Darwin, Northern Territory, Australia|Sunshine Coast University Hospital, Birtinya, Queensland, Australia|Princess Alexandra Hospital, Brisbane, Queensland, Australia|Logan Hospital, Brisbane, Queensland, Australia|Toowoomba Hospital, Toowoomba, Queensland, Australia|The Queen Elizabeth Hospital, Adelaide, South Australia, Australia|Bendigo Hospital, Bendigo, Victoria, Australia|University Hosptial Geelong, Geelong, Victoria, Australia|The Alfred Hospital, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|St Vincent's Hospital Melbourne, Melbourne, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia|St John of God Hospital Midland, Perth, Western Australia, Australia|Fiona Stanley Hospital, Perth, Western Australia, Australia|St John of God Hospital Murdoch, Perth, Western Australia, Australia|AZ Sint-Jan, Brugge, Belgium|CHU de Charleroi - Hôpital Civil Marie Curie, Charleroi, Belgium|Universitair Ziekenhuis Antwerp, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|St. Joseph's Healthcare Hamilton, Hamilton, Canada|Centre Hospitalier de l'Université de Sherbrooke, Sherbrooke, Canada|St. Michael's Hospital Unity Health Toronto, Toronto, Canada|General County Hospital Požega, Požega, Croatia|University Hospital Centre Zagreb, Zagreb, Croatia|University Hospital for Infectious Diseases, Zagreb, Croatia|Charité - Universitätsmedizin Berlin - Infektiologie und Pneumologie, Berlin, Germany|Charité - Universitätsmedizin Berlin - Nephrologie, Berlin, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Universitätsklinikum Köln, Cologne, Germany|Universitätsklinikum Frankfurt, Frankfurt, Germany|University Medical Center Hamburg-Eppendorf (UKE), Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitätsklinikum Jena, Jena, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitäts Klinikum Tübingen, Tübingen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Jósa András County Hospital, Nyíregyháza, Hungary|Csolnoky Ferenc Kórház - Veszprem County Hospital, Veszprém, Hungary|Almási Balogh Pál Kórház, Ózd, Hungary|Beaumont Hospital, Dublin, Ireland|St. Vincent's University Hospital, Dublin, Ireland|University Hospital Galway, Galway, Ireland|Meander Medisch Centrum, Amersfoort, Netherlands|Jeroen Bosch Ziekenhuis, Den Bosch, Netherlands|Martini Hospital Groningen, Groningen, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|North Shore Hospital, Auckland, New Zealand|CVICU, Auckland City Hospital, Auckland, New Zealand|DCCM, Auckland City Hospital, Auckland, New Zealand|Middlemore Hospital, Auckland, New Zealand|Christchurch Hospital, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand|Rotorua Hospital, Rotorua, New Zealand|Tauranga Hospital, Tauranga, New Zealand|Wellington Regional Hospital, Wellington, New Zealand|Whangarei Hospital, Whangarei, New Zealand|Centro Hospitalar do Medio Tejo, Abrantes, Portugal|Hospital Lusíadas Lisbon, Lisboa, Portugal|Clinical Hospital of Infectious and Tropical Diseases \"Dr. Victor Babes\", Bucharest, Romania|Institut Hospital del Mar d'Investigacions Mèdiques, Barcelona, Spain|Hospital Universitario Reina Sofia, Córdoba, Spain|Basingstoke and North Hampshire Hospital, Basingstoke, United Kingdom|Southmead Hospital, Bristol, United Kingdom|University Hospital Coventry, Coventry, United Kingdom|Darlington Memorial Hospital, Darlington, United Kingdom|University Hospital of North Durham, Durham, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Maidstone Hospital - Maidstone and Tunbridge Wells NHS Trust, Maidstone, United Kingdom|The James Cook University Hospital, Middlesbrough, United Kingdom|Milton Keynes University Hospital, Milton Keynes, United Kingdom|Northampton General Hospital, Northampton, United Kingdom|Queen's Medical Centre - Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|Poole Hospital NHS Foundation Trust, Poole, United Kingdom|Queen Alexandra Hospital - Portsmouth Hospitals NHS Trust, Portsmouth, United Kingdom|Royal Berkshire Hospital, Reading, United Kingdom|University Hospital of North Tees, Stockton-on-Tees, United Kingdom|Royal Cornwall Hospital, Truro, United Kingdom|Tunbridge Wells Hospital - Maidstone and Tunbridge Wells NHS Trust, Tunbridge Wells, United Kingdom|York Hospital, York, United Kingdom"	"https://ClinicalTrials.gov/show/NCT02735707"
"1029"	1029	"NCT04324463"	"Anti-Coronavirus Therapies to Prevent Progression of Coronavirus Disease 2019 (COVID-19) Trial"	"Recruiting"	"No Results Available"	"Coronavirus|Severe Acute Respiratory Syndrome"	"drug: colchicine|drug: interferon-beta|drug: aspirin|drug: rivaroxaban"	"Phase 3"	"Interventional"	"Hamilton Health Sciences, Hamilton, Ontario, Canada"	"https://ClinicalTrials.gov/show/NCT04324463"
"1047"	1047	"NCT04320238"	"Experimental Trial of rhIFNα Nasal Drops to Prevent 2019-nCOV in Medical Staff"	"Recruiting"	"No Results Available"	"2019 Novel Coronavirus Infection"	"drug: recombinant human interferon alpha-1b|drug: thymosin alpha 1"	"Phase 3"	"Interventional"	"Taihe Hospital, Shiyan, Hubei, China"	"https://ClinicalTrials.gov/show/NCT04320238"
"1075"	1075	"NCT04293887"	"Efficacy and Safety of IFN-α2β in the Treatment of Novel Coronavirus Patients"	"Not yet recruiting"	"No Results Available"	"COVID-19|Recombinant Human Interferon α1β"	"drug: recombinant human interferon α1β"	"Early Phase 1"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04293887"
"1134"	1134	"NCT04379518"	"Rintatolimod and IFN Alpha-2b for the Treatment of Mild or Moderate COVID-19 Infection in Cancer Patients"	"Not yet recruiting"	"No Results Available"	"Malignant Neoplasm|SARS Coronavirus 2 Infection"	"biological: recombinant interferon alfa-2b|drug: rintatolimod"	"Phase 1|Phase 2"	"Interventional"	"Roswell Park Cancer Institute, Buffalo, New York, United States"	"https://ClinicalTrials.gov/show/NCT04379518"
"1137"	1137	"NCT04251871"	"Treatment and Prevention of Traditional Chinese Medicines (TCMs) on COVID-19 Infection"	"Recruiting"	"No Results Available"	"Pneumonia Caused by Human Coronavirus (Disorder)"	"drug: conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir) and traditional chinese medicines (tcms) granules|drug: conventional medicines (oxygen therapy, alfa interferon via aerosol inhalation, and lopinavir/ritonavir)"	"Not Applicable"	"Interventional"	"The Fifth Medical Center, General Hospital of PLA, Beijing, Beijing, China"	"https://ClinicalTrials.gov/show/NCT04251871"
"1265"	1265	"NCT04350281"	"Double Therapy With IFN-beta 1b and Hydroxychloroquine"	"Recruiting"	"No Results Available"	"COVID"	"drug: interferon beta-1b|drug: hydroxychloroquine"	"Phase 2"	"Interventional"	"The University of Hong Kong, Queen Mary Hospital, Hong Kong, Hong Kong"	"https://ClinicalTrials.gov/show/NCT04350281"
"1338"	1338	"NCT04276688"	"Lopinavir/ Ritonavir, Ribavirin and IFN-beta Combination for nCoV Treatment"	"Completed"	"No Results Available"	"Novel Coronavirus Infection"	"drug: lopinavir/ritonavir|drug: ribavirin|drug: interferon beta-1b"	"Phase 2"	"Interventional"	"University of Hong Kong, Queen Mary Hospital, Hong Kong, Hong Kong"	"https://ClinicalTrials.gov/show/NCT04276688"
