""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"357"	357	"NCT04334044"	"Treatment of SARS Caused by COVID-19 With Ruxolitinib"	"Recruiting"	"No Results Available"	"COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2"	"drug: ruxolitinib oral tablet"	"Phase 1|Phase 2"	"Interventional"	"Grupo Cooperativo de Hemopatías Malignas, Huixquilucan, Estado De México, Mexico"	"https://ClinicalTrials.gov/show/NCT04334044"
"387"	387	"NCT04373044"	"Baricitinib, Placebo and Antiviral Therapy for the Treatment of Patients With Moderate and Severe COVID-19"	"Recruiting"	"No Results Available"	"Symptomatic COVID-19 Infection Laboratory-Confirmed"	"drug: baricitinib|drug: hydroxychloroquine|drug: placebo administration"	"Phase 2"	"Interventional"	"Los Angeles County-USC Medical Center, Los Angeles, California, United States|USC / Norris Comprehensive Cancer Center, Los Angeles, California, United States"	"https://ClinicalTrials.gov/show/NCT04373044"
"391"	391	"NCT04346147"	"Clinical Trial to Evaluate Efficacy of 3 Types of Treatment in Patients With Pneumonia by COVID-19"	"Recruiting"	"No Results Available"	"COVID-19 Pneumonia"	"drug: hidroxicloroquine|drug: lopinavir/ritonavir|drug: imatinib tablets|drug: baricitinib oral tablet"	"Phase 2"	"Interventional"	"Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain"	"https://ClinicalTrials.gov/show/NCT04346147"
"477"	477	"NCT04331665"	"Study of the Efficacy and Safety of Ruxolitinib to Treat COVID-19 Pneumonia"	"Not yet recruiting"	"No Results Available"	"COVID-19|Pneumonia"	"drug: ruxolitinib"	"Not Applicable"	"Interventional"	"Princess Margaret Cancer Centre, Toronto, Ontario, Canada"	"https://ClinicalTrials.gov/show/NCT04331665"
"519"	519	"NCT04390061"	"TOFAcitinib Plus Hydroxycloroquine vs Hydroxycloroquine in Patients With COVID-19 Interstitial Pneumonia"	"Not yet recruiting"	"No Results Available"	"Pneumonitis, Interstitial|COVID-19"	"drug: tofacitinib|drug: hydroxychloroquine"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04390061"
"528"	528	"NCT04362137"	"Phase 3 Randomized, Double-blind, Placebo-controlled Multi-center Study to Assess the Efficacy and Safety of Ruxolitinib in Patients With COVID-19 Associated Cytokine Storm (RUXCOVID)"	"Recruiting"	"No Results Available"	"Cytokine Storm (Covid-19)"	"drug: ruxolitinib|drug: placebo"	"Phase 3"	"Interventional"	"Novartis Investigative Site, Aurora, Colorado, United States|Novartis Investigative Site, Stamford, Connecticut, United States|Novartis Investigative Site, Boston, Massachusetts, United States|Novartis Investigative Site, Ann Arbor, Michigan, United States|Novartis Investigative Site, Newark, New Jersey, United States|Novartis Investigative Site, New York, New York, United States|Novartis Investigative Site, Seattle, Washington, United States|Novartis Investigative Site, Madison, Wisconsin, United States|Novartis Investigative Site, Aachen, Germany|Novartis Investigative Site, Lubeck, Germany|Novartis Investigative Site, Muenchen, Germany|Novartis Investigative Site, Nuernberg, Germany|Novartis Investigative Site, Bologna, BO, Italy|Novartis Investigative Site, Firenze, FI, Italy|Novartis Investigative Site, Milano, MI, Italy|Novartis Investigative Site, Rozzano, MI, Italy|Novartis Investigative Site, Barnaul, Russian Federation|Novartis Investigative Site, Moscow, Russian Federation|Novartis Investigative Site, Ryazan, Russian Federation|Novartis Investigative Site, Saint Petersburg, Russian Federation|Novartis Investigative Site, Sestroretsk, Russian Federation|Novartis Investigative Site, St Petersburg, Russian Federation|Novartis Investigative Site, Salamanca, Castilla Y Leon, Spain|Novartis Investigative Site, Barcelona, Cataluna, Spain|Novartis Investigative Site, Madrid, Spain|Novartis Investigative Site, Blackpool, United Kingdom|Novartis Investigative Site, Harrow, United Kingdom|Novartis Investigative Site, Leeds, United Kingdom|Novartis Investigative Site, London, United Kingdom|Novartis Investigative Site, London, United Kingdom|Novartis Investigative Site, Manchester, United Kingdom"	"https://ClinicalTrials.gov/show/NCT04362137"
"537"	537	"NCT04366232"	"Efficacy of Intravenous Anakinra and Ruxolitinib During COVID-19 Inflammation (JAKINCOV)"	"Not yet recruiting"	"No Results Available"	"Covid-19"	"drug: anakinra alone (stages 2b/3)|drug: anakinra and ruxolitinib (overcome stage 3)|other: standard of care"	"Phase 2"	"Interventional"	"AP-HM, Hôpital de la Conception, Marseille, Bouches-du-Rhône, France|Hôpital Sainte-Musse, Toulon, VAR, France|Sainte Anne Teaching Military Hospital, Toulon, Var, France"	"https://ClinicalTrials.gov/show/NCT04366232"
"608"	608	"NCT04338958"	"Ruxolitinib in Covid-19 Patients With Defined Hyperinflammation"	"Recruiting"	"No Results Available"	"Covid-19"	"drug: ruxolitinib"	"Phase 2"	"Interventional"	"Universitätsmedizin Göttingen - Klinik für Hämatologie und Onkologie, Göttingen, Germany|University Hospital Jena, Jena, Germany|Klinikum der Landeshauptstadt Stuttgart gKöR, Stuttgart, Germany|Universitätsklinikum Ulm, Ulm, Germany|Schwarzwald-Baar Klinikum Villingen-Schwenningen GmbH, Villingen-Schwenningen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany"	"https://ClinicalTrials.gov/show/NCT04338958"
"614"	614	"NCT04390464"	"mulTi-Arm Therapeutic Study in Pre-ICu Patients Admitted With Covid-19 - Repurposed Drugs (TACTIC-R)"	"Recruiting"	"No Results Available"	"COVID19"	"drug: ravulizumab|drug: baricitinib|other: standard of care"	"Phase 4"	"Interventional"	"Cambridge University Hospitals NHS Foundation Trust, Cambridge, Cambridgeshire, United Kingdom"	"https://ClinicalTrials.gov/show/NCT04390464"
"634"	634	"NCT04424056"	"A Trial Using ANAKINRA, TOCILIZUMAB Alone or in Association With RUXOLITINIB in Severe Stage 2b and 3 of COVID19-associated Disease"	"Not yet recruiting"	"No Results Available"	"Covid19"	"drug: anakinra +/- ruxolitinib (stages 2b/3)|drug: anakinra and ruxolitinib (advanced stage 3)|drug: tocilizumab +/- ruxolitinib (stages 2b/3)|drug: tocilizumab and ruxolitinib (advanced stage 3)|other: standard of care"	"Phase 3"	"Interventional"	"Assistance Publique Hôpitaux de Marseille, Marseille, France"	"https://ClinicalTrials.gov/show/NCT04424056"
"663"	663	"NCT04374149"	"Therapeutic Plasma Exchange Alone or in Combination With Ruxolitinib in COVID-19 Associated CRS"	"Not yet recruiting"	"No Results Available"	"Cytokine Release Syndrome|COVID19"	"procedure: therapeutic plasma exchange|drug: ruxolitinib"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04374149"
"684"	684	"NCT04393051"	"Baricitinib Compared to Standard Therapy in Patients With COVID-19"	"Not yet recruiting"	"No Results Available"	"Covid-19|SARS-CoV 2|SARS Pneumonia"	"drug: baricitinib oral tablet"	"Phase 2"	"Interventional"	"Azienda Ospedaliero Universitaria Pisana, Pisa, Italy"	"https://ClinicalTrials.gov/show/NCT04393051"
"894"	894	"NCT04358614"	"Baricitinib Therapy in COVID-19"	"Completed"	"No Results Available"	"COVID|Pneumonia"	"drug: baricitinib 4 mg oral tablet"	"Phase 2|Phase 3"	"Interventional"	"Fabrizio Cantini, Prato, Tuscany, Italy"	"https://ClinicalTrials.gov/show/NCT04358614"
"943"	943	"NCT04332042"	"TOFAcitinib in SARS-CoV2 Pneumonia"	"Not yet recruiting"	"No Results Available"	"SARS-COv2 Related Interstitial Pneumonia"	"drug: tofacitinib"	"Phase 2"	"Interventional"	"Ospedali Riuniti di Ancona, Ancona, Marche, Italy"	"https://ClinicalTrials.gov/show/NCT04332042"
"982"	982	"NCT04348695"	"Study of Ruxolitinib Plus Simvastatin in the Prevention and Treatment of Respiratory Failure of COVID-19."	"Recruiting"	"No Results Available"	"Coronavirus Infection"	"drug: ruxolitinib plus simvastatin|other: standard of care"	"Phase 2"	"Interventional"	"Hospital Universitario Madrid Sanchinarro, Madrid, Spain"	"https://ClinicalTrials.gov/show/NCT04348695"
"983"	983	"NCT04320277"	"Baricitinib in Symptomatic Patients Infected by COVID-19: an Open-label, Pilot Study."	"Not yet recruiting"	"No Results Available"	"Pharmacological Action"	"drug: baricitinib"	"Phase 2|Phase 3"	"Interventional"	"Fabrizio Cantini, Prato, Tuscany, Italy"	"https://ClinicalTrials.gov/show/NCT04320277"
"988"	988	"NCT04403243"	"COLchicine Versus Ruxolitinib and Secukinumab In Open Prospective Randomized Trial"	"Recruiting"	"No Results Available"	"COVID 19"	"drug: colchicine|drug: ruxolitinib 5 mg|drug: secukinumab 150 mg/ml subcutaneous solution [cosentyx]|other: standard therapy"	"Phase 2"	"Interventional"	"Lomonosov Moscow State University Medical Research and Educational Center, Moscow, Moscow Region, Russian Federation"	"https://ClinicalTrials.gov/show/NCT04403243"
"1117"	1117	"NCT04399798"	"Baricitinib for coRona Virus pnEumonia (COVID-19): a THerapeutic Trial"	"Not yet recruiting"	"No Results Available"	"Corona Virus Infection"	"drug: baricitinib"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04399798"
"1182"	1182	"NCT04345289"	"Efficacy and Safety of Novel Treatment Options for Adults With COVID-19 Pneumonia"	"Recruiting"	"No Results Available"	"COVID|Corona Virus Infection|Viral Pneumonia"	"biological: convalescent anti-sars-cov-2 plasma|drug: sarilumab|drug: baricitinib|drug: hydroxychloroquine|other: injective placebo|other: oral placebo"	"Phase 3"	"Interventional"	"Aalborg University Hospital, Aalborg, Denmark|Aarhus University Hospital, Arhus, Denmark|Bispebjerg Hospital, Copenhagen, Denmark|Rigshospitalet, Copenhagen, Denmark|Herlev Gentofte Hospital, Herlev, Denmark|Herning Hospital, Herning, Denmark|Nordsjællands Hospital, Hillerød, Denmark|Hvidovre Hospital, Hvidovre, Denmark|Kolding Hospital, Kolding, Denmark|Odense University Hospital, Odense, Denmark|Roskilde Hospital, Roskilde, Denmark|Vejle Hospital, Vejle, Denmark"	"https://ClinicalTrials.gov/show/NCT04345289"
"1211"	1211	"NCT04359290"	"Ruxolitinib for Treatment of Covid-19 Induced Lung Injury ARDS"	"Not yet recruiting"	"No Results Available"	"ARDS, Human|COVID"	"drug: ruxolitinib administration"	"Phase 2"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04359290"
